행정동코드,읍면동명,거래수,년,평균거래금액,지니계수_거래금액,평균평당거래금액,지니계수_평당거래금액
2635059500,반여제4동,176,2024,32911.9,0.267,1381.9,0.194
2635061000,반송제1동,52,2024,15876.7,0.117,788.6,0.099
2635065000,재송제1동,169,2024,60000.3,0.441,2092.4,0.32
2638051000,괴정제1동,92,2024,29172.3,0.293,1264.0,0.268
2638055000,당리동,52,2024,23329.7,0.286,981.6,0.222
2638056100,하단제1동,99,2024,27064.1,0.199,1138.9,0.151
2638057100,신평제1동,102,2024,21857.4,0.171,969.6,0.196
2638058000,장림제1동,125,2024,14090.1,0.209,711.4,0.196
2638060100,다대제1동,244,2024,19590.0,0.343,880.9,0.176
2638061000,구평동,49,2024,26962.2,0.166,1214.9,0.127
2638062000,감천제1동,47,2024,16338.3,0.236,736.8,0.137
2641051000,서제1동,11,2024,16118.2,0.151,907.3,0.138
2641055500,금사회동동,9,2024,18866.7,0.113,1014.2,0.107
2641057000,부곡제1동,126,2024,32617.3,0.294,1530.5,0.192
2641060000,장전제1동,124,2024,50905.2,0.228,2283.0,0.213
2641066500,청룡노포동,14,2024,27382.1,0.236,1014.7,0.158
2641067000,남산동,23,2024,21217.8,0.131,945.3,0.119
2641068000,구서제1동,125,2024,43279.8,0.311,1572.3,0.204
2644051000,대저1동,5,2024,22820.0,0.079,1346.2,0.034
2644053500,명지1동,338,2024,46064.5,0.179,1797.9,0.11
2644056000,녹산동,63,2024,16498.4,0.153,819.1,0.057
2647061000,거제제1동,195,2024,49216.4,0.24,1894.6,0.18
2647065000,연산제1동,525,2024,40292.9,0.273,1825.7,0.198
2650066000,남천제1동,92,2024,88284.8,0.22,3432.4,0.164
2650073000,수영동,18,2024,53133.3,0.13,2262.4,0.155
2650074000,망미제1동,120,2024,33350.2,0.253,1850.3,0.133
2650076000,광안제1동,115,2024,51458.7,0.338,2195.1,0.26
2650080000,민락동,69,2024,77194.2,0.169,2783.2,0.131
2653058000,삼락동,8,2024,20325.0,0.088,990.7,0.04
2653059100,모라제1동,72,2024,17988.7,0.278,850.9,0.184
2653060000,덕포제1동,62,2024,18578.5,0.221,886.7,0.187
2653062000,괘법동,73,2024,23916.4,0.218,1220.1,0.104
2653065000,주례제1동,154,2024,23532.2,0.247,1042.6,0.194
2653067000,학장동,84,2024,16586.3,0.203,813.8,0.161
2653068000,엄궁동,56,2024,22560.4,0.241,1017.1,0.158
2671025000,기장읍,139,2024,21318.6,0.242,1018.2,0.189
2671025300,장안읍,1,2024,5000.0,0.0,781.9,0.0
2671025600,정관읍,295,2024,28369.2,0.165,1197.8,0.081
2671025900,일광읍,150,2024,47796.3,0.146,1937.4,0.075
2671033000,철마면,8,2024,28762.5,0.109,1215.4,0.076
2711051700,동인동,6,2024,33316.7,0.087,1433.8,0.135
2711054500,삼덕동,30,2024,43686.7,0.131,2000.0,0.055
2711056500,성내1동,10,2024,15895.0,0.443,1246.5,0.06
2711057500,성내2동,62,2024,44278.1,0.086,1846.7,0.058
2711058500,성내3동,10,2024,54318.5,0.04,2114.7,0.04
2711059500,대신동,56,2024,44639.1,0.128,1906.5,0.116
2711064000,남산1동,206,2024,47318.1,0.185,2141.1,0.155
2711068000,대봉1동,83,2024,49492.4,0.094,2012.1,0.089
2714051000,신암1동,232,2024,37884.8,0.213,1626.9,0.181
2714052000,신암2동,234,2024,34112.4,0.256,1520.6,0.172
2714059000,효목1동,61,2024,21112.0,0.178,929.9,0.109
2714061500,도평동,16,2024,25831.2,0.208,1188.4,0.184
2714062000,불로.봉무동,93,2024,33154.8,0.138,1312.8,0.087
2714064000,지저동,20,2024,17758.0,0.223,846.2,0.152
2714068500,해안동,61,2024,25333.6,0.189,1090.2,0.127
2714072000,안심1동,98,2024,31831.1,0.191,1239.0,0.1
2714073000,안심2동,30,2024,30131.3,0.252,1209.6,0.168
2714074200,안심3동,207,2024,26701.2,0.149,1106.9,0.127
2714074700,안심4동,88,2024,24476.4,0.15,1085.7,0.101
2714076000,공산동,59,2024,21452.5,0.217,977.1,0.177
2717052500,내당2.3동,43,2024,28636.0,0.308,1329.9,0.225
2717056500,비산2.3동,17,2024,14208.8,0.191,784.3,0.119
2717062000,평리1동,102,2024,30768.7,0.147,1261.3,0.127
2717067500,상중이동,49,2024,28412.2,0.159,1101.0,0.099
2717069500,원대동,4,2024,35400.0,0.282,1438.8,0.243
2720051500,이천동,45,2024,27274.4,0.162,1163.9,0.115
2720053000,봉덕1동,98,2024,35152.0,0.129,1384.6,0.156
2720057100,대명2동,69,2024,33915.5,0.247,1488.7,0.21
2723051000,고성동,62,2024,42497.6,0.131,1834.8,0.074
2723052600,칠성동,119,2024,35827.3,0.188,1459.7,0.155
2723055000,침산1동,183,2024,32166.4,0.244,1328.6,0.174
2723061000,산격1동,30,2024,21895.0,0.221,990.3,0.122
2723064500,대현동,73,2024,30783.6,0.143,1342.9,0.094
2723067100,복현1동,128,2024,33430.9,0.23,1456.2,0.184
2723068000,검단동,18,2024,10583.3,0.054,712.1,0.07
2723069500,무태조야동,156,2024,25762.8,0.191,1039.3,0.125
2723071500,관문동,130,2024,32650.7,0.211,1303.0,0.159
2723072500,태전1동,148,2024,21435.5,0.22,967.6,0.184
2723074500,구암동,164,2024,18730.0,0.167,911.1,0.074
2723075000,관음동,34,2024,17075.6,0.133,791.0,0.101
2723077000,읍내동,93,2024,21080.1,0.252,920.9,0.157
2723078000,동천동,164,2024,23249.8,0.224,1102.2,0.105
2723079000,노원동,51,2024,28026.9,0.123,1376.7,0.074
2723080000,국우동,126,2024,27592.3,0.224,1187.3,0.15
2726051000,범어1동,221,2024,90638.8,0.236,3115.3,0.151
2726055000,만촌1동,128,2024,58338.8,0.238,2288.0,0.23
2726057000,수성1가동,34,2024,43705.4,0.263,1822.8,0.186
2726058000,수성2.3가동,19,2024,91842.1,0.252,2448.4,0.113
2726059000,수성4가동,72,2024,86417.3,0.283,2243.5,0.141
2726060100,황금1동,99,2024,61382.8,0.164,2310.0,0.133
2726061000,중동,59,2024,57769.5,0.096,2175.1,0.063
2726062000,상동,19,2024,68200.0,0.257,1874.4,0.161
2726063000,파동,93,2024,22692.6,0.295,1168.9,0.145
2726064000,두산동,18,2024,89983.3,0.248,2440.3,0.202
2726065100,지산1동,86,2024,26857.6,0.238,1183.8,0.171
2726066100,범물1동,83,2024,27263.9,0.25,1141.2,0.162
2726067000,고산1동,20,2024,40165.0,0.16,1422.5,0.077
2726068000,고산2동,86,2024,43485.5,0.233,1832.8,0.214
2726069000,고산3동,182,2024,26634.6,0.24,1157.1,0.121
2729051500,성당동,43,2024,30177.9,0.171,1218.5,0.127
2729053500,두류1.2동,29,2024,38760.7,0.152,1674.4,0.121
2729055500,감삼동,108,2024,46049.8,0.247,1759.2,0.162
2729056300,죽전동,13,2024,23653.8,0.041,971.2,0.071
